Player,Total_Games,Date_Range,PTS_Season_Avg,PTS_Current_Streak,PTS_Streak_Length,PTS_Hot_Streaks,PTS_Cold_Streaks,PTS_Bounce_Rate,PTS_Recent_Avg,PTS_Recent_Trend,REB_Season_Avg,REB_Current_Streak,REB_Streak_Length,REB_Hot_Streaks,REB_Cold_Streaks,REB_Bounce_Rate,REB_Recent_Avg,REB_Recent_Trend,AST_Season_Avg,AST_Current_Streak,AST_Streak_Length,AST_Hot_Streaks,AST_Cold_Streaks,AST_Bounce_Rate,AST_Recent_Avg,AST_Recent_Trend
Satou Sabally,27,2024-08-16 00:00:00 to 2025-06-15 00:00:00,19.11111111111111,neutral,10,0,1,0.0,19.6,up,7.074074074074074,neutral,4,0,0,0.0,7.6,up,4.074074074074074,neutral,4,1,1,0.0,3.6,up
Sevgi Uzun,47,2024-05-15 00:00:00 to 2025-06-01 00:00:00,3.9574468085106385,cold,13,2,2,0.0,1.8,down,1.5106382978723405,cold,2,2,2,0.0,0.4,down,2.8297872340425534,cold,2,2,1,0.0,1.8,down
Shakira Austin,20,2024-05-14 00:00:00 to 2025-06-15 00:00:00,10.1,neutral,2,1,1,0.0,8.4,up,6.05,neutral,3,1,1,0.0,5.8,up,0.8,hot,3,2,1,0.16666666666666666,1.0,down
Shatori Walker-Kimbrough,51,2024-05-14 00:00:00 to 2025-06-15 00:00:00,6.352941176470588,cold,9,1,1,0.0,0.0,down,1.588235294117647,cold,1,1,2,0.0,0.8,down,1.6274509803921569,cold,10,1,2,0.0,1.0,down
Sika Koné,27,2024-05-17 00:00:00 to 2024-09-19 00:00:00,3.962962962962963,hot,7,1,1,0.0,11.8,up,2.037037037037037,hot,6,1,1,0.058823529411764705,5.8,up,0.4444444444444444,hot,7,1,1,0.0,1.2,down
Skylar Diggins,51,2024-05-14 00:00:00 to 2025-06-15 00:00:00,15.764705882352942,neutral,13,0,1,0.0,17.0,up,2.5294117647058822,cold,1,2,1,0.0,1.8,down,6.352941176470588,neutral,2,0,0,0.0,5.2,down
Sophie Cunningham,45,2024-05-14 00:00:00 to 2025-06-14 00:00:00,8.11111111111111,neutral,3,1,1,0.16666666666666666,6.2,down,3.8666666666666667,neutral,6,1,1,0.0,3.4,down,1.8888888888888888,cold,4,2,3,0.07142857142857142,1.2,down
Stefanie Dolson,50,2024-05-14 00:00:00 to 2025-06-15 00:00:00,8.18,cold,12,1,1,0.0,2.6,up,4.44,cold,3,1,2,0.0,1.8,down,2.4,cold,3,2,3,0.08333333333333333,0.4,down
Stephanie Soares,22,2024-05-15 00:00:00 to 2024-08-25 00:00:00,1.0909090909090908,cold,1,2,1,0.3333333333333333,0.6,down,2.1363636363636362,cold,4,1,2,0.14285714285714285,0.6,up,0.45454545454545453,cold,8,1,1,0.0,0.0,down
Stephanie Talbot,45,2024-05-15 00:00:00 to 2025-06-15 00:00:00,3.3777777777777778,neutral,6,1,2,0.0,3.0,down,2.7111111111111112,neutral,7,2,2,0.0,2.4,up,1.9555555555555555,neutral,1,1,4,0.0625,1.8,up
Sug Sutton,40,2024-05-14 00:00:00 to 2025-06-15 00:00:00,3.025,hot,2,2,1,0.07142857142857142,4.6,down,1.075,hot,7,2,1,0.0,1.4,down,2.2,hot,1,2,1,0.0,2.8,up
Sydney Colson,40,2024-05-14 00:00:00 to 2025-06-14 00:00:00,2.75,hot,2,2,2,0.06666666666666667,5.2,up,0.6,hot,10,1,1,0.13636363636363635,1.0,down,1.225,hot,4,1,3,0.0,3.0,up
Teaira McCowan,49,2024-05-15 00:00:00 to 2025-06-08 00:00:00,10.285714285714286,cold,7,3,1,0.0,3.6,down,7.285714285714286,cold,4,1,2,0.1,3.6,down,1.3673469387755102,cold,7,1,2,0.23076923076923078,0.6,down
Temi Fágbénlé,22,2024-05-14 00:00:00 to 2024-09-19 00:00:00,6.363636363636363,neutral,2,1,1,0.0,6.8,down,4.7272727272727275,neutral,11,1,0,0.0,4.0,down,0.9090909090909091,neutral,1,1,1,0.0,0.8,down
Tiffany Hayes,36,2024-06-05 00:00:00 to 2025-06-02 00:00:00,9.527777777777779,hot,1,0,0,0.16666666666666666,12.2,down,2.888888888888889,neutral,3,1,1,0.0,3.0,up,2.0277777777777777,neutral,2,1,1,0.0,2.0,up
Tiffany Mitchell,34,2024-05-14 00:00:00 to 2025-06-15 00:00:00,4.470588235294118,neutral,5,2,2,0.0,3.8,up,1.6470588235294117,neutral,5,1,2,0.0,1.6,down,0.7352941176470589,cold,1,3,0,0.25,0.2,down
Tina Charles,49,2024-05-15 00:00:00 to 2025-06-15 00:00:00,15.285714285714286,neutral,16,1,0,0.0,16.6,up,8.755102040816327,cold,5,1,2,0.0,4.4,up,2.142857142857143,cold,1,2,2,0.0,1.4,down
Tyasha Harris,44,2024-05-14 00:00:00 to 2025-05-27 00:00:00,9.818181818181818,cold,1,0,0,0.0,4.6,down,1.6818181818181819,cold,2,3,1,0.1,1.0,down,2.977272727272727,neutral,5,2,2,0.0,2.6,down
Veronica Burton,41,2024-06-08 00:00:00 to 2025-06-15 00:00:00,5.2439024390243905,hot,8,1,3,0.047619047619047616,13.6,down,2.073170731707317,hot,9,2,2,0.0,3.6,down,2.731707317073171,hot,7,1,2,0.0,6.4,up
Victoria Vivians,35,2024-05-14 00:00:00 to 2024-09-19 00:00:00,3.142857142857143,neutral,1,1,1,0.09090909090909091,2.6,up,1.9714285714285715,cold,9,2,2,0.07142857142857142,0.8,up,0.8285714285714286,neutral,3,1,2,0.0,0.8,up
Zia Cooke,39,2024-05-15 00:00:00 to 2025-06-15 00:00:00,3.41025641025641,cold,1,2,1,0.125,1.8,down,0.6153846153846154,cold,3,3,4,0.06666666666666667,0.0,down,0.5897435897435898,cold,1,3,2,0.25,0.4,up
