player,date,team,opponent,points,assists,rebounds,fantasy_points,minutes,trend_phase,games_in_trend,dip_type,fantasy_points_roll_3,fantasy_points_pct_drop,cycle_performance_score,days_in_cycle,percent_drop_from_avg
Alanna Smith,2024-08-30,MIN,DAL,0,2,2,8.0,13.6,Trough,1,cycle,12.333333333333334,0.5213930348258706,-0.282089552238806,24,52.1
Diamond Miller,2024-08-30,MIN,DAL,2,1,3,6.0,9.083333333333334,Recovery,2,none,5.333333333333333,0.15151515151515155,0.0,0,15.2
Joyner Holmes,2024-08-30,SEA,NYL,2,1,1,6.0,14.116666666666667,Recovery,1,none,3.0,0.5573770491803278,0.0,0,55.7
Brianna Turner,2024-08-30,CHI,IND,0,0,2,2.0,2.6833333333333336,Recovery,2,none,3.3333333333333335,0.3571428571428571,0.0,0,35.7
Victoria Vivians,2024-08-28,SEA,ATL,2,0,0,2.0,8.366666666666667,Stable,1,none,2.3333333333333335,0.6975308641975309,-0.7407407407407407,22,69.8
Michaela Onyenwere,2024-08-28,CHI,WAS,15,1,2,19.0,24.3,Peak,2,none,19.666666666666668,-0.638888888888889,0.5833333333333334,21,-63.9
Angel Reese,2024-08-28,CHI,WAS,7,2,14,25.0,34.733333333333334,Stable,1,none,34.333333333333336,-0.06703229737964653,-0.22303473491773315,21,-6.7
Naz Hillmon,2024-08-28,ATL,SEA,7,1,3,13.0,23.98333333333333,Trough,1,fatigue,11.333333333333334,0.18022905364677508,-0.059674502712477345,21,18.0
Azurá Stevens,2024-08-28,LAS,NYL,10,1,5,19.0,19.516666666666666,Stable,1,none,25.0,-0.06837606837606844,0.0,0,-6.8
Diana Taurasi,2024-08-28,PHO,MIN,16,4,5,31.0,31.466666666666665,Stable,1,none,27.0,-0.026399155227032674,0.10242872228088694,22,-2.6
Julie Vanloo,2024-08-28,WAS,CHI,6,1,0,8.0,21.116666666666667,Trough,1,cycle,12.333333333333334,0.23395445134575574,-0.5031055900621119,22,23.4
Jordin Canada,2024-08-28,ATL,SEA,12,6,5,23.0,31.78333333333333,Stable,1,none,24.0,0.012345679012345708,0.0,0,1.2
Aliyah Boston,2024-08-28,IND,CON,10,8,6,32.0,38.21666666666667,Stable,5,none,31.666666666666668,-0.041666666666666755,0.052631578947368474,22,-4.2
Sug Sutton,2024-08-28,WAS,CHI,2,2,0,4.0,3.733333333333333,Recovery,1,none,3.6666666666666665,0.4709784411276949,-0.5671641791044776,22,47.1
Kayla Thornton,2024-08-28,NYL,LAS,5,0,2,10.0,18.416666666666668,Trough,1,cycle,5.333333333333333,0.5480225988700566,-0.15254237288135597,22,54.8
Aaliyah Edwards,2024-08-28,WAS,CHI,6,3,4,19.0,26.616666666666667,Recovery,1,none,13.666666666666666,0.22684414864115363,0.0748752079866889,22,22.7
Odyssey Sims,2024-08-28,LAS,NYL,14,7,1,28.0,33.95,Peak,1,none,27.666666666666668,-0.17314487632508846,0.0,0,-17.3
Joyner Holmes,2024-08-28,SEA,ATL,2,1,0,3.0,4.566666666666666,Trough,5,unknown,1.0,0.8524590163934426,0.0,0,85.2
Bridget Carleton,2024-08-28,MIN,PHO,9,5,6,28.0,32.38333333333333,Peak,1,none,24.0,-0.1699999999999999,0.3649999999999999,22,-17.0
Tina Charles,2024-08-28,ATL,SEA,19,10,17,57.0,37.016666666666666,Peak,1,none,43.0,-0.4370179948586118,0.9048843187660668,21,-43.7
Shatori Walker-Kimbrough,2024-08-28,WAS,CHI,4,2,1,9.0,16.366666666666667,Recovery,3,none,12.333333333333334,0.17502787068004452,-0.39799331103678925,22,17.5
Natisha Hiedeman,2024-08-28,MIN,PHO,8,3,1,14.0,12.85,Peak,1,none,16.333333333333332,-0.4518518518518517,0.022222222222222223,22,-45.2
Dearica Hamby,2024-08-28,LAS,NYL,21,5,7,41.0,35.733333333333334,Stable,1,none,32.0,0.07246376811594203,0.10144927536231885,21,7.2
Sophie Cunningham,2024-08-28,PHO,MIN,16,0,6,23.0,25.866666666666667,Stable,1,none,19.0,-0.02702702702702703,0.02702702702702703,22,-2.7
Caitlin Clark,2024-08-28,IND,CON,19,5,5,36.0,37.61666666666667,Stable,3,none,40.0,0.009287925696594427,-0.10835913312693499,22,0.9
DeWanna Bonner,2024-08-28,CON,IND,13,0,8,24.0,25.633333333333333,Stable,1,none,27.666666666666668,0.016296296296296253,-0.14666666666666667,22,1.6
Rickea Jackson,2024-08-28,LAS,NYL,19,3,3,33.0,35.983333333333334,Peak,2,none,35.0,-0.6018306636155606,-0.1304347826086957,21,-60.2
Kayla McBride,2024-08-28,MIN,PHO,19,3,5,32.0,32.11666666666667,Ascending,1,none,29.0,-0.10991167811579983,-0.004906771344455331,22,-11.0
Diamond Miller,2024-08-28,MIN,PHO,3,1,5,9.0,13.066666666666666,Recovery,1,none,4.0,0.36363636363636365,0.0,0,36.4
Natasha Mack,2024-08-28,PHO,MIN,4,0,7,17.0,13.633333333333333,Recovery,1,none,10.333333333333334,0.24019607843137247,-0.3014705882352941,22,24.0
Isabelle Harrison,2024-08-28,CHI,WAS,6,1,1,8.0,9.65,Trough,2,cycle,3.3333333333333335,0.744136460554371,-0.3859275053304904,8,74.4
Betnijah Laney-Hamilton,2024-08-28,NYL,LAS,4,4,3,11.0,20.466666666666665,Descending,1,cycle,21.666666666666668,0.06233900051519832,-0.5239567233384853,22,6.2
Skylar Diggins,2024-08-28,SEA,ATL,16,9,5,37.0,31.883333333333333,Stable,1,none,30.666666666666668,-0.010433827567270721,0.21911037891268528,22,-1.0
Olivia Nelson-Ododa,2024-08-28,CON,IND,2,0,3,7.0,10.466666666666669,Peak,2,none,11.0,-0.375,-0.125,22,-37.5
Tyasha Harris,2024-08-28,CON,IND,9,4,0,19.0,20.3,Trough,1,unknown,14.666666666666666,0.24934383202099747,-0.02755905511811032,22,24.9
Ariel Atkins,2024-08-28,WAS,CHI,15,5,6,31.0,30.516666666666666,Descending,1,cycle,23.333333333333332,0.14136767862618835,0.14075436982520695,22,14.1
Kamilla Cardoso,2024-08-28,CHI,WAS,10,6,11,33.0,30.35,Peak,1,none,31.333333333333332,-0.34225792057117355,0.41365461847389556,4,-34.2
Nia Coffey,2024-08-28,ATL,SEA,9,0,3,17.0,16.016666666666666,Peak,2,none,15.666666666666666,-0.7168949771689497,0.863013698630137,21,-71.7
Alanna Smith,2024-08-28,MIN,PHO,6,2,3,16.0,19.066666666666663,Descending,1,cycle,22.0,0.14626865671641795,-0.20447761194029854,22,14.6
Lorela Cubaj,2024-08-28,ATL,SEA,0,0,0,0.0,3.083333333333333,Trough,1,cycle,1.6666666666666667,0.5795795795795795,-1.0,10,58.0
Erica Wheeler,2024-08-28,IND,CON,5,0,2,8.0,13.166666666666666,Recovery,1,none,5.666666666666667,0.3115264797507787,-0.028037383177569996,22,31.2
Jade Melbourne,2024-08-28,WAS,CHI,0,1,0,3.0,10.283333333333331,Trough,3,cycle,5.333333333333333,0.4953111679454391,-0.7161125319693095,17,49.5
Courtney Williams,2024-08-28,MIN,PHO,16,5,3,28.0,27.15,Stable,3,none,24.333333333333332,0.005788219271365445,-0.019407558733401487,22,0.6
Monique Billings,2024-08-28,PHO,MIN,4,2,4,14.0,18.133333333333333,Trough,2,cycle,11.0,0.3590551181102362,-0.22309711286089232,18,35.9
Alissa Pili,2024-08-28,MIN,PHO,0,0,1,1.0,1.4666666666666668,Stable,1,none,6.0,-0.2222222222222222,0.0,0,-22.2
Haley Jones,2024-08-28,ATL,SEA,0,2,1,3.0,7.966666666666667,Trough,1,cycle,3.3333333333333335,0.6518711923411662,-0.6866840731070496,21,65.2
Brianna Turner,2024-08-28,CHI,WAS,0,0,2,6.0,5.266666666666667,Recovery,1,none,2.6666666666666665,0.4857142857142857,0.0,0,48.6
Leonie Fiebich,2024-08-28,NYL,LAS,6,1,2,13.0,25.25,Stable,1,none,15.666666666666666,-0.039248203427307914,-0.13764510779436148,22,-3.9
Sika Koné,2024-08-28,WAS,CHI,6,0,2,8.0,12.766666666666667,Recovery,1,none,2.6666666666666665,0.6288659793814434,0.0,0,62.9
Nneka Ogwumike,2024-08-28,SEA,ATL,18,2,6,31.0,34.916666666666664,Stable,1,none,33.333333333333336,-0.03380832634814205,-0.03855825649622796,22,-3.4
Diamond DeShields,2024-08-28,CHI,WAS,12,0,1,14.0,15.7,Recovery,1,none,6.0,0.35353535353535354,0.5084175084175084,21,35.4
Dorka Juhász,2024-08-28,MIN,PHO,5,0,2,10.0,6.75,Recovery,1,none,5.0,0.5685279187817259,-0.266497461928934,11,56.9
Kennedy Burke,2024-08-28,NYL,LAS,7,0,3,11.0,18.133333333333333,Recovery,1,none,7.0,0.1335504885993486,0.3615635179153094,22,13.4
Kelsey Mitchell,2024-08-28,IND,CON,23,3,4,38.0,37.75,Stable,2,none,38.0,-0.36445242369838415,0.36445242369838415,22,-36.4
Myisha Hines-Allen,2024-08-28,MIN,PHO,11,1,5,24.0,20.23333333333333,Recovery,2,none,13.333333333333334,0.21568627450980388,0.4117647058823529,22,21.6
Mercedes Russell,2024-08-28,SEA,ATL,7,0,2,11.0,13.066666666666666,Stable,1,none,9.0,0.04034582132564848,0.17291066282420742,22,4.0
Marina Mabrey,2024-08-28,CON,IND,16,4,2,32.0,28.33333333333333,Ascending,1,none,32.0,-0.12874779541446202,0.12874779541446202,21,-12.9
Crystal Dangerfield,2024-08-28,LAS,NYL,3,0,0,3.0,6.05,Stable,4,none,7.666666666666667,0.0,-0.6086956521739131,21,0.0
Ezi Magbegor,2024-08-28,SEA,ATL,7,1,9,20.0,27.416666666666668,Descending,1,cycle,24.666666666666668,0.13899371069182387,-0.3018867924528302,22,13.9
Temi Fágbénlé,2024-08-28,IND,CON,0,0,3,5.0,16.966666666666665,Trough,3,unknown,7.0,0.5157232704402516,0.0,0,51.6
Natasha Cloud,2024-08-28,PHO,MIN,12,8,3,29.0,36.4,Stable,1,none,28.0,-0.010446343779677155,0.028490028490028532,22,-1.0
Veronica Burton,2024-08-28,CON,IND,2,1,3,6.0,16.633333333333333,Recovery,2,none,4.666666666666667,0.4281949934123847,-0.26482213438735186,25,42.8
Allisha Gray,2024-08-28,ATL,SEA,22,0,5,33.0,37.833333333333336,Peak,1,none,32.333333333333336,-0.1599402092675636,0.18385650224215247,21,-16.0
Alyssa Thomas,2024-08-28,CON,IND,17,6,6,33.0,36.86666666666667,Stable,2,none,30.666666666666668,0.008353543519267028,0.06709781729991914,22,0.8
Celeste Taylor,2024-08-28,PHO,MIN,0,0,1,1.0,8.6,Recovery,2,none,5.333333333333333,0.3098039215686275,0.0,0,31.0
Damiris Dantas,2024-08-28,IND,CON,0,0,1,1.0,5.95,Stable,1,none,10.0,-0.1299435028248588,0.0,0,-13.0
Mikiah Herbert Harrigan,2024-08-28,PHO,MIN,1,0,0,1.0,4.916666666666667,Trough,1,cycle,3.0,0.5829596412556054,-0.9304932735426009,22,58.3
Brittney Griner,2024-08-28,PHO,MIN,10,1,7,21.0,28.0,Stable,1,none,31.666666666666668,-0.01822079314040728,0.02893890675241153,26,-1.8
Jewell Loyd,2024-08-28,SEA,ATL,28,3,6,48.0,36.81666666666667,Ascending,1,none,35.0,-0.0711331679073614,0.4689826302729528,22,-7.1
Lindsay Allen,2024-08-28,CHI,WAS,8,4,1,13.0,26.25,Peak,1,none,21.666666666666668,-0.4614952220348512,-0.12310286677908934,21,-46.1
Karlie Samuelson,2024-08-28,WAS,CHI,3,0,0,8.0,12.2,Trough,2,cycle,7.666666666666667,0.540633608815427,-0.5206611570247934,22,54.1
Kia Nurse,2024-08-28,LAS,NYL,0,2,0,4.0,9.85,Trough,1,cycle,7.333333333333333,0.4282001299545159,-0.49317738791423,21,42.8
Cecilia Zandalasini,2024-08-28,MIN,PHO,0,0,0,0.0,2.4333333333333336,Trough,1,unknown,4.0,0.5441595441595442,0.0256410256410256,22,54.4
Rhyne Howard,2024-08-28,ATL,SEA,12,4,1,19.0,39.91666666666666,Trough,1,cycle,26.666666666666668,0.1752577319587629,-0.4123711340206186,21,17.5
Dana Evans,2024-08-28,CHI,WAS,6,2,1,10.0,24.0,Recovery,1,none,4.333333333333333,0.6743737957610789,-0.24855491329479773,21,67.4
Rachel Banham,2024-08-28,CHI,WAS,3,0,1,5.0,16.0,Recovery,1,none,8.0,0.25440806045340053,-0.5340050377833753,22,25.4
Gabby Williams,2024-08-28,SEA,ATL,3,1,5,11.0,31.633333333333333,Stable,2,none,14.0,0.3823529411764706,0.0,0,38.2
Li Yueru,2024-08-28,LAS,NYL,4,0,4,8.0,10.266666666666667,Stable,1,none,10.333333333333334,0.02078137988362419,-0.09975062344139649,21,2.1
Sami Whitcomb,2024-08-28,SEA,ATL,2,2,4,8.0,11.333333333333334,Stable,1,none,14.333333333333334,-0.2383009359251261,-0.3088552915766738,22,-23.8
Emily Engstler,2024-08-28,WAS,CHI,9,2,3,24.0,14.583333333333334,Peak,1,none,23.333333333333332,-0.5395189003436426,0.5835051546391753,17,-54.0
NaLyssa Smith,2024-08-28,IND,CON,10,1,6,18.0,18.866666666666667,Recovery,1,none,13.333333333333334,0.4074074074074074,-0.2,22,40.7
Stefanie Dolson,2024-08-28,WAS,CHI,17,2,6,30.0,26.03333333333333,Ascending,1,none,22.333333333333332,-0.06740196078431365,0.43382352941176466,22,-6.7
Brionna Jones,2024-08-28,CON,IND,2,2,1,11.0,29.53333333333333,Trough,1,cycle,17.0,0.29896907216494845,-0.5463917525773195,22,29.9
Brittney Sykes,2024-08-28,WAS,CHI,6,1,3,14.0,25.78333333333333,Stable,1,none,31.666666666666668,-0.3902439024390244,0.0,0,-39.0
Maya Caldwell,2024-08-28,ATL,SEA,0,0,1,1.0,2.4166666666666665,Trough,1,unknown,8.666666666666666,0.1602067183462533,0.0,0,16.0
Lexie Hull,2024-08-28,IND,CON,17,3,8,34.0,31.466666666666665,Peak,1,none,20.0,-0.6790123456790123,1.8543209876543207,20,-67.9
Sabrina Ionescu,2024-08-28,NYL,LAS,18,6,5,36.0,33.05,Descending,3,unknown,29.666666666666668,0.13548057259713703,0.04907975460122694,22,13.5
Rae Burrell,2024-08-28,LAS,NYL,18,1,5,31.0,22.933333333333334,Peak,1,none,16.333333333333332,-0.39247311827956977,1.0034562211981566,21,-39.2
Nyara Sabally,2024-08-28,NYL,LAS,14,0,10,30.0,27.95,Peak,1,none,18.333333333333332,-0.43574297188755,0.0,0,-43.6
Breanna Stewart,2024-08-28,NYL,LAS,32,1,6,46.0,33.916666666666664,Ascending,1,none,43.0,-0.0864361702127659,0.16223404255319143,22,-8.6
Napheesa Collier,2024-08-28,MIN,PHO,12,5,8,28.0,32.483333333333334,Stable,2,none,42.0,-0.02292263610315178,-0.14756446991404018,22,-2.3
Kahleah Copper,2024-08-28,PHO,MIN,13,0,4,18.0,32.983333333333334,Trough,1,unknown,21.666666666666668,0.3130534133104827,-0.09640102827763496,22,31.3
Stephanie Talbot,2024-08-28,LAS,NYL,5,5,3,19.0,25.716666666666665,Peak,1,none,17.333333333333332,-0.6318914334181509,0.3180661577608143,21,-63.2
DiJonai Carrington,2024-08-28,CON,IND,19,2,4,38.0,32.21666666666667,Ascending,1,none,26.666666666666668,-0.11229946524064176,0.5850267379679144,22,-11.2
Courtney Vandersloot,2024-08-28,NYL,LAS,2,13,1,16.0,22.816666666666663,Stable,1,none,23.666666666666668,-0.3974603174603177,-0.05523809523809514,22,-39.7
Moriah Jefferson,2024-08-28,CHI,WAS,3,3,2,9.0,13.75,Peak,1,none,4.666666666666667,-0.19259259259259265,0.0,0,-19.3
Maddy Siegrist,2024-08-27,DAL,LVA,2,2,2,6.0,11.333333333333334,Stable,1,none,6.666666666666667,0.5734597156398104,0.0,0,57.3
Kiah Stokes,2024-08-27,LVA,DAL,0,0,2,2.0,14.05,Recovery,1,none,2.0,0.796875,0.11718749999999994,21,79.7
Teaira McCowan,2024-08-27,DAL,LVA,8,0,17,25.0,24.416666666666668,Ascending,1,none,27.333333333333332,-0.09896907216494838,0.005154639175257714,20,-9.9
Sevgi Uzun,2024-08-27,DAL,LVA,9,2,1,15.0,20.866666666666667,Recovery,2,none,9.333333333333334,0.2140350877192982,0.2631578947368421,20,21.4
Jacy Sheldon,2024-08-27,DAL,LVA,0,3,1,6.0,19.133333333333333,Descending,1,cycle,10.666666666666666,0.14323962516733602,-0.5180722891566265,20,14.3
Alysha Clark,2024-08-27,LVA,DAL,5,0,0,10.0,22.03333333333333,Descending,1,cycle,14.0,0.05084745762711865,-0.3559322033898305,21,5.1
Jaelyn Brown,2024-08-27,DAL,LVA,0,0,0,0.0,1.9166666666666663,Stable,1,none,1.0,0.8372093023255814,0.0,0,83.7
Kelsey Plum,2024-08-27,LVA,DAL,8,5,5,18.0,33.85,Trough,1,cycle,22.333333333333332,0.22848484848484849,0.22636363636363643,21,22.8
Chelsea Gray,2024-08-27,LVA,DAL,15,2,5,31.0,30.7,Peak,1,none,24.666666666666668,-0.1562500000000001,0.0,0,-15.6
Megan Gustafson,2024-08-27,LVA,DAL,0,0,0,2.0,10.95,Stable,1,none,9.333333333333334,-0.2621589561091342,-0.797153024911032,21,-26.2
Arike Ogunbowale,2024-08-27,DAL,LVA,20,6,5,34.0,40.0,Ascending,2,none,43.0,-0.08283631544068923,-0.14380384360503642,20,-8.3
Tiffany Hayes,2024-08-27,LVA,DAL,3,0,2,5.0,16.933333333333334,Trough,1,cycle,11.666666666666666,0.33043478260869574,-0.7130434782608696,27,33.0
A'ja Wilson,2024-08-27,LVA,DAL,42,2,6,58.0,36.75,Stable,1,none,47.333333333333336,0.0587824873539159,0.09366823652537935,21,5.9
Kalani Brown,2024-08-27,DAL,LVA,2,3,1,6.0,10.233333333333333,Trough,3,cycle,4.666666666666667,0.5873015873015873,-0.46938775510204084,20,58.7
Natasha Howard,2024-08-27,DAL,LVA,24,1,6,37.0,34.016666666666666,Ascending,1,none,36.333333333333336,-0.14736842105263162,0.0,0,-14.7
Satou Sabally,2024-08-27,DAL,LVA,28,5,7,48.0,38.083333333333336,Stable,5,none,34.666666666666664,0.02255639097744373,0.0,0,2.3
Jackie Young,2024-08-27,LVA,DAL,17,6,6,34.0,34.733333333333334,Trough,2,unknown,22.0,0.26067211625794734,0.09218891916439596,21,26.1
Nia Coffey,2024-08-26,ATL,IND,5,2,9,21.0,16.75,Peak,1,none,10.666666666666666,-0.16894977168949765,1.3013698630136987,19,-16.9
Natasha Mack,2024-08-26,PHO,NYL,2,0,2,6.0,6.633333333333333,Trough,2,cycle,8.0,0.4117647058823529,-0.3014705882352941,20,41.2
Jordan Horston,2024-08-26,SEA,WAS,6,0,2,12.0,18.65,Stable,1,none,12.333333333333334,0.279940119760479,-0.124251497005988,20,28.0
Breanna Stewart,2024-08-26,NYL,PHO,21,6,6,38.0,34.28333333333333,Stable,1,none,40.333333333333336,-0.019060283687943266,-0.03989361702127665,20,-1.9
Rhyne Howard,2024-08-26,ATL,IND,16,2,7,33.0,36.43333333333333,Stable,1,none,30.333333333333332,0.06185567010309289,0.020618556701030855,19,6.2
Brittney Sykes,2024-08-26,WAS,SEA,20,3,6,37.0,29.73333333333333,Peak,2,none,37.0,-0.6243902439024389,0.0,0,-62.4
Emily Engstler,2024-08-26,WAS,SEA,12,3,9,32.0,17.783333333333335,Ascending,1,none,16.666666666666668,-0.09965635738831623,1.111340206185567,15,-10.0
Kelsey Mitchell,2024-08-26,IND,ATL,29,1,7,42.0,37.91666666666666,Stable,1,none,40.333333333333336,-0.44823459006582883,0.5080789946140035,20,-44.8
Leonie Fiebich,2024-08-26,NYL,PHO,4,1,2,8.0,24.28333333333333,Peak,3,none,22.666666666666668,-0.5035931453841903,-0.4693200663349917,20,-50.4
Ariel Atkins,2024-08-26,WAS,SEA,2,2,5,9.0,19.883333333333333,Stable,1,none,26.333333333333332,0.03097209444955542,-0.6688132474701012,20,3.1
Kahleah Copper,2024-08-26,PHO,NYL,14,0,5,23.0,33.516666666666666,Recovery,1,none,26.333333333333332,0.16509568694658672,-0.12810625535561268,20,16.5
Maya Caldwell,2024-08-26,ATL,IND,3,3,6,15.0,21.73333333333333,Ascending,1,none,11.666666666666666,-0.13049095607235134,0.0,0,-13.0
Jordin Canada,2024-08-26,ATL,IND,10,6,2,19.0,30.383333333333333,Descending,1,unknown,22.0,0.0946502057613169,0.0,0,9.5
Nneka Ogwumike,2024-08-26,SEA,WAS,9,3,10,27.0,33.56666666666667,Ascending,1,none,35.666666666666664,-0.10617490919251184,-0.2091366303436714,20,-10.6
Natasha Cloud,2024-08-26,PHO,NYL,18,7,6,37.0,35.016666666666666,Recovery,1,none,24.666666666666668,0.10984488762266532,0.335232668566002,20,11.0
Shatori Walker-Kimbrough,2024-08-26,WAS,SEA,11,1,2,19.0,25.966666666666665,Recovery,2,none,11.333333333333334,0.24191750278706792,0.27090301003344486,20,24.2
Temi Fágbénlé,2024-08-26,IND,ATL,2,0,3,7.0,10.866666666666667,Trough,2,unknown,10.0,0.30817610062893086,0.0,0,30.8
Celeste Taylor,2024-08-26,PHO,NYL,0,0,1,5.0,8.966666666666667,Recovery,1,none,5.0,0.35294117647058826,0.0,0,35.3
Gabby Williams,2024-08-26,SEA,WAS,3,4,4,17.0,25.65,Stable,1,none,17.0,0.25000000000000006,0.0,0,25.0
Katie Lou Samuelson,2024-08-26,IND,ATL,0,3,1,4.0,6.35,Trough,2,cycle,5.333333333333333,0.4666666666666667,-0.6,20,46.7
Brittney Griner,2024-08-26,PHO,NYL,22,0,6,32.0,33.36666666666667,Ascending,2,none,34.333333333333336,-0.1039657020364416,-0.06752411575562706,24,-10.4
Damiris Dantas,2024-08-26,IND,ATL,11,0,1,15.0,9.75,Peak,3,none,15.0,-0.6949152542372882,0.0,0,-69.5
Ezi Magbegor,2024-08-26,SEA,WAS,9,2,6,22.0,28.883333333333333,Stable,1,none,27.0,0.05754716981132077,-0.07500000000000001,20,5.8
Nyara Sabally,2024-08-26,NYL,PHO,6,0,4,14.0,10.183333333333334,Stable,2,none,12.333333333333334,0.03413654618473897,0.0,0,3.4
Courtney Vandersloot,2024-08-26,NYL,PHO,16,4,6,35.0,25.0,Peak,2,none,24.333333333333332,-0.4368253968253969,1.0666666666666669,20,-43.7
Jonquel Jones,2024-08-26,NYL,PHO,15,1,7,30.0,29.816666666666663,Descending,1,unknown,27.666666666666668,0.13541666666666663,-0.0625,20,13.5
Mercedes Russell,2024-08-26,SEA,WAS,8,1,1,12.0,16.533333333333335,Recovery,1,none,7.0,0.2536023054755044,0.4394812680115273,20,25.4
Shakira Austin,2024-08-26,WAS,SEA,6,0,4,12.0,15.033333333333331,Stable,1,none,29.333333333333332,-0.22648083623693369,0.0,0,-22.6
Kayla Thornton,2024-08-26,NYL,PHO,0,0,1,1.0,13.3,Descending,1,cycle,11.0,0.06779661016949158,-0.9152542372881356,20,6.8
Kennedy Burke,2024-08-26,NYL,PHO,0,1,1,2.0,5.716666666666667,Trough,1,cycle,6.333333333333333,0.21606948968512493,-0.752442996742671,20,21.6
Sabrina Ionescu,2024-08-26,NYL,PHO,13,5,4,31.0,30.3,Descending,2,unknown,30.0,0.12576687116564422,-0.0966257668711657,20,12.6
Stefanie Dolson,2024-08-26,WAS,SEA,5,3,10,21.0,31.6,Descending,1,unknown,18.666666666666668,0.10784313725490191,0.003676470588235281,20,10.8
Tina Charles,2024-08-26,ATL,IND,28,1,8,37.0,34.266666666666666,Stable,1,none,35.333333333333336,-0.18080548414738654,0.23650385604113108,19,-18.1
Jewell Loyd,2024-08-26,SEA,WAS,16,1,6,29.0,32.55,Descending,1,unknown,31.0,0.05128205128205133,0.0711331679073614,20,5.1
Aaliyah Edwards,2024-08-26,WAS,SEA,2,0,5,7.0,15.583333333333334,Trough,2,cycle,10.666666666666666,0.39656128674431507,-0.6039933444259568,20,39.7
Sophie Cunningham,2024-08-26,PHO,NYL,2,2,5,13.0,31.8,Trough,1,cycle,14.666666666666666,0.20720720720720723,-0.5405405405405406,20,20.7
Skylar Diggins,2024-08-26,SEA,WAS,10,8,3,26.0,30.966666666666665,Descending,1,cycle,28.0,0.07742998352553547,-0.3410214168039539,20,7.7
Betnijah Laney-Hamilton,2024-08-26,NYL,PHO,9,3,1,20.0,27.116666666666667,Stable,1,none,24.333333333333332,-0.05306543019062331,-0.13446676970633695,20,-5.3
Erica Wheeler,2024-08-26,IND,ATL,0,1,3,6.0,8.85,Trough,1,cycle,3.6666666666666665,0.5545171339563864,-0.2710280373831775,20,55.5
Monique Billings,2024-08-26,PHO,NYL,2,0,3,7.0,16.266666666666666,Trough,1,cycle,11.333333333333334,0.33963254593175846,-0.5338582677165354,16,34.0
Jade Melbourne,2024-08-26,WAS,SEA,5,1,1,7.0,19.066666666666663,Trough,2,cycle,6.333333333333333,0.40068201193520897,-0.3375959079283888,15,40.1
Naz Hillmon,2024-08-26,ATL,IND,2,1,1,10.0,23.28333333333333,Descending,1,cycle,12.666666666666666,0.08378541289933694,-0.2766726943942133,19,8.4
Diana Taurasi,2024-08-26,PHO,NYL,10,6,3,20.0,34.43333333333333,Trough,1,cycle,20.0,0.23970432946145728,-0.23970432946145728,20,24.0
Caitlin Clark,2024-08-26,IND,ATL,19,7,7,43.0,36.9,Stable,2,none,43.333333333333336,-0.07327141382868943,0.06501547987616099,20,-7.3
Allisha Gray,2024-08-26,ATL,IND,12,2,2,23.0,21.83333333333333,Ascending,2,none,31.0,-0.11210762331838565,-0.17488789237668162,19,-11.2
Lorela Cubaj,2024-08-26,ATL,IND,0,0,2,2.0,5.716666666666667,Stable,1,none,4.666666666666667,-0.1771771771771772,-0.4954954954954955,8,-17.7
Haley Jones,2024-08-26,ATL,IND,3,1,1,5.0,9.616666666666667,Stable,1,none,4.0,0.5822454308093995,-0.4778067885117493,19,58.2
Sami Whitcomb,2024-08-26,SEA,WAS,11,1,1,21.0,13.216666666666669,Peak,1,none,15.0,-0.2958963282937366,0.5982721382289418,20,-29.6
Lexie Hull,2024-08-26,IND,ATL,2,2,4,12.0,29.98333333333333,Stable,1,none,19.0,-0.5950617283950617,0.007407407407407381,18,-59.5
Julie Vanloo,2024-08-26,WAS,SEA,11,4,0,18.0,25.35,Recovery,2,none,14.0,0.13043478260869573,0.11801242236024835,20,13.0
NaLyssa Smith,2024-08-26,IND,ATL,7,0,6,15.0,27.1,Trough,2,cycle,11.333333333333334,0.4962962962962963,-0.3333333333333333,20,49.6
Aliyah Boston,2024-08-26,IND,ATL,14,4,11,33.0,32.28333333333333,Stable,4,none,31.666666666666668,-0.041666666666666755,0.08552631578947373,20,-4.2
Diamond DeShields,2024-08-25,CHI,LVA,0,1,1,2.0,6.783333333333333,Stable,1,none,2.0,0.7845117845117845,-0.35353535353535354,18,78.5
Arike Ogunbowale,2024-08-25,DAL,LAS,33,7,4,52.0,40.0,Ascending,1,none,42.0,-0.05765407554671971,0.2465208747514911,18,-5.8
Rickea Jackson,2024-08-25,LAS,DAL,25,4,3,48.0,36.583333333333336,Peak,1,none,31.666666666666668,-0.4492753623188405,0.5102974828375285,18,-44.9
Isabelle Harrison,2024-08-25,CHI,LVA,0,0,0,0.0,3.216666666666667,Trough,1,cycle,8.0,0.3859275053304904,-0.5778251599147122,5,38.6
Sevgi Uzun,2024-08-25,DAL,LAS,6,2,1,13.0,16.983333333333334,Recovery,1,none,4.666666666666667,0.6070175438596491,0.6842105263157895,18,60.7
Jaelyn Brown,2024-08-25,DAL,LAS,0,0,1,1.0,6.9,Trough,3,unknown,1.0,0.8372093023255814,0.0,0,83.7
Michaela Onyenwere,2024-08-25,CHI,LVA,15,1,0,21.0,32.416666666666664,Peak,1,none,16.333333333333332,-0.361111111111111,0.75,18,-36.1
Jacy Sheldon,2024-08-25,DAL,LAS,2,8,2,14.0,23.016666666666666,Stable,3,none,13.666666666666666,-0.09772423025435076,-0.3975903614457831,18,-9.8
